Id,Parent component,Title,Label,Date,Content desc,Idno,Barcode,Seq number,Pid,Created at,Updated at,Desc metadata,Discoverability,Level,Ead id att,Date dl ingest,Date dl update,Exemplar,Ancestry,Pids depth cache,Ead id atts depth cache,Followed by
510969,0,Our Mountain Work [1956],,1956,,,,,uva-lib:2253903,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,,,,,,uva-lib:2253903,"",
510968,0,Our Mountain Work [1955],,1955,,,,,uva-lib:2253902,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,,,,,,uva-lib:2253902,"",510969
510967,0,Our Mountain Work [1954],,1954,,,,,uva-lib:2253901,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,,,,,,uva-lib:2253901,"",510968
510966,0,Our Mountain Work [1953],,1953,,,,,uva-lib:2253900,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,,,,,,uva-lib:2253900,"",510967
510965,0,Our Mountain Work [1952],,1952,,,,,uva-lib:2253899,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,,,,,,uva-lib:2253899,"",510966
510964,0,Our Mountain Work [1951],,1951,,,,,uva-lib:2253898,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,,,,,,uva-lib:2253898,"",510965
510963,0,Our Mountain Work [1950/1951],,1950/1951,,,,,uva-lib:2253897,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,"",,,,,uva-lib:2253897,"",510964
510962,0,Our Mountain Work [1949/1950],,1949/1950,,,,,uva-lib:2253896,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,"",,,,,uva-lib:2253896,"",510963
510961,0,Our Mountain Work [1948/1949],,1948/1949,,,,,uva-lib:2253895,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,"",,,,,uva-lib:2253895,"",510962
510960,0,Our Mountain Work [1947/1948],,1947/1948,,,,,uva-lib:2253894,2013-10-18 10:58:42 -0400,2013-10-23 10:25:05 -0400,,true,series,"",,,,,uva-lib:2253894,"",510961
510959,0,Our Mountain Work [1946/1947],,1946/1947,,,,,uva-lib:2253893,2013-10-18 10:58:41 -0400,2013-10-23 10:25:05 -0400,,true,series,"",,,,,uva-lib:2253893,"",510960
510958,0,Our Mountain Work [1945/1946],,1945/1946,,,,,uva-lib:2253892,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253892,"",510959
510957,0,Our Mountain Work [1944/1945],,1944/1945,,,,,uva-lib:2253891,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253891,"",510958
510956,0,Our Mountain Work [1943/1944],,1943/1944,,,,,uva-lib:2253890,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253890,"",510957
510955,0,Our Mountain Work [1942/1943],,1942/1943,,,,,uva-lib:2253889,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253889,"",510956
510954,0,Our Mountain Work [1941/1942],,1941/1942,,,,,uva-lib:2253888,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253888,"",510955
510953,0,Our Mountain Work [1940/1941],,1940/1941,,,,,uva-lib:2253887,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253887,"",510954
510952,0,"Our Mountain Work, vol. 29 [1939/1940]",,1939/1940,Not found in catalog record.,,,,uva-lib:2253886,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253886,"",510953
510951,0,"Our Mountain Work, vol. 28 [1938/1939]",,1938/1939,,,,,uva-lib:2253885,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253885,"",510952
510950,0,"Our Mountain Work, vol. 27 [1937/1938]",,1937/1938,,,,,uva-lib:2253884,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253884,"",510951
510949,0,"Our Mountain Work, vol. 26 [1936/1937]",,1936/1937,,,,,uva-lib:2253883,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253883,"",510950
510948,0,"Our Mountain Work, vol. 25 [1935/1936]",,1935/1936,,,,,uva-lib:2253882,2013-10-18 10:58:41 -0400,2013-10-23 10:25:04 -0400,,true,series,"",,,,,uva-lib:2253882,"",510949
227831,227821,"Neve's ""History of the Mission of St. John
                  the Baptist"" printed in 
                  Our Mountain
                  Home(electrostatic copy) 
                  1934
                  ",,1934,,,,10,uva-lib:1545133,2012-05-17 19:54:54 -0400,2012-06-16 22:17:07 -0400,,true,item,d1e385,,,,227813/227821,uva-lib:1545115/uva-lib:1545123/uva-lib:1545133,viu03549/d1e285/d1e385,
