advertisements, http://vocab.getty.edu/aat/300193993
architectural documents, http://vocab.getty.edu/aat/300343615
books, http://vocab.getty.edu/aat/300028051
broadsides (notices), http://vocab.getty.edu/aat/300026739
business records, http://vocab.getty.edu/aat/300141693
cartographic materials, http://vocab.getty.edu/aat/300028052
census records, http://vocab.getty.edu/aat/300026832
ceramic ware (visual works), http://vocab.getty.edu/aat/300386879
comics (documents), http://vocab.getty.edu/aat/300015635
correspondence, http://vocab.getty.edu/aat/300026877
costume (mode of fashion), http://vocab.getty.edu/aat/300209275
cultural artifacts, http://vocab.getty.edu/aat/300265421
decorative arts, http://vocab.getty.edu/aat/300054168
drawings (visual works), http://vocab.getty.edu/aat/300033973
furniture, http://vocab.getty.edu/aat/300037680
genealogies (histories), http://vocab.getty.edu/aat/300027015
government records, http://vocab.getty.edu/aat/300027777
graphic arts, http://vocab.getty.edu/aat/300264849
interviews, http://vocab.getty.edu/aat/30026392
jewelry, http://vocab.getty.edu/aat/300209286
motion pictures (visual works), http://vocab.getty.edu/aat/300136900
natural history specimens, http://vocab.getty.edu/aat/300379591
newspapers, http://vocab.getty.edu/aat/300026656
oral histories (document genre), http://vocab.getty.edu/aat/300202595
painting (visual works), http://vocab.getty.edu/aat/300033618
pamphlets, http://vocab.getty.edu/aat/300220572
performances (creative events), http://vocab.getty.edu/aat/300069200
periodicals, http://vocab.getty.edu/aat/300026657
photographs, http://vocab.getty.edu/aat/300046300
postcards, http://vocab.getty.edu/aat/300026816
posters, http://vocab.getty.edu/aat/300027221
prints (visual works), http://vocab.getty.edu/aat/300041273
reference sources, http://vocab.getty.edu/aat/300163404
sculpture (visual works), http://vocab.getty.edu/aat/300047090
sermons, http://vocab.getty.edu/aat/300026669
sheet music, http://vocab.getty.edu/aat/300026430
sound recordings, http://vocab.getty.edu/aat/300028633
textiles (visual works), http://vocab.getty.edu/aat/300014063
theses, http://vocab.getty.edu/aat/300028028
tools, http://vocab.getty.edu/aat/300024841
weapons, http://vocab.getty.edu/aat/300036926
yearbooks, http://vocab.getty.edu/aat/300026646
